algorithm,resolution,tre_mean_um,tre_max_um,tre_sd_um,atre_mean_um,atre_max_um,atre_sd_um,rmse_mean,rmse_sd,jaccard_mean,jaccard_sd,contrast_f2,darea_pct_mean,darea_pct_sd,kind
Unregistered,low,726.81,2558.97,528.95,543.56,1706.62,298.02,44.90,5.03,0.67,0.15,2031.62,0.00,0.00,baseline
LS 1,low,27.30,396.78,55.62,25.87,314.15,35.96,34.69,6.39,0.90,0.07,1225.25,6.15,8.94,landmark_fitted
LS 2,low,33.52,401.27,55.70,29.52,318.41,36.55,34.76,6.41,0.90,0.07,1230.75,7.55,9.10,landmark_fitted
OPT default,low,200.11,1120.63,197.43,189.74,933.68,154.81,39.70,5.90,0.86,0.08,1663.83,-40.28,21.10,automated
OPT optimal,low,84.86,617.62,112.51,97.28,482.65,80.44,35.26,6.44,0.92,0.06,1293.17,-10.76,8.69,automated
SIFT default,low,178.38,3900.82,383.37,729.60,2096.57,511.87,36.28,7.08,0.86,0.12,1327.28,-6.61,10.43,automated
SIFT optimal,low,173.15,3755.45,453.05,668.41,2837.41,572.90,35.07,6.91,0.87,0.14,1258.35,-0.78,7.44,automated
HSR,low,86.99,718.85,117.16,118.15,407.31,83.00,38.27,6.26,0.92,0.06,1520.41,-15.99,9.96,automated
RVSS default,low,330.02,3764.99,600.79,656.13,2186.17,494.23,36.85,7.46,0.92,0.08,1338.65,-13.23,14.70,automated
RVSS optimal,low,252.32,2689.75,436.63,855.53,1677.06,334.83,35.20,7.45,0.85,0.16,1261.35,-0.39,3.31,automated
ESA default,low,717.22,2558.97,539.55,538.28,1702.38,302.25,44.44,6.07,0.67,0.16,1992.03,0.00,0.01,automated
ESA optimal,low,46.32,618.27,92.03,63.72,599.97,68.07,32.23,7.03,0.90,0.08,1075.18,-0.44,2.27,automated
MIM default,low,121.44,2241.90,327.01,380.34,1500.07,370.61,42.83,5.70,0.90,0.11,1857.95,0.41,3.49,automated
MIM optimal,low,79.74,1767.90,169.53,75.82,1233.78,108.02,42.58,5.59,0.92,0.07,1841.03,2.34,6.68,automated
Voloom,low,90.98,555.46,103.81,80.12,382.78,71.12,37.69,5.39,0.91,0.07,1444.09,1.87,5.51,automated
Unregistered,high,726.87,2559.07,528.92,543.55,1706.53,298.04,48.79,4.90,0.67,0.15,2396.69,0.00,0.00,baseline
LS 1,high,27.25,398.01,55.60,25.82,314.38,35.95,39.21,5.87,0.90,0.07,1554.89,5.87,8.92,landmark_fitted
LS 2,high,33.53,401.34,55.62,29.51,317.90,36.54,39.28,5.88,0.90,0.07,1560.83,7.27,9.08,landmark_fitted
OPT default,high,202.50,1115.20,198.27,185.80,961.31,154.84,43.85,5.48,0.86,0.08,2000.94,-40.49,20.46,automated
OPT optimal,high,83.68,625.48,112.30,97.24,481.94,79.82,39.75,5.90,0.92,0.06,1628.50,-14.25,9.50,automated
SIFT default,high,145.16,1388.05,173.41,223.89,1052.81,146.44,41.91,6.28,0.88,0.08,1782.81,-6.94,6.81,automated
SIFT optimal,high,84.94,1026.27,130.96,157.17,630.95,117.20,39.51,6.01,0.90,0.08,1590.79,0.18,4.62,automated
HSR,high,88.08,1117.63,133.55,153.43,598.88,120.99,42.24,5.73,0.92,0.07,1836.69,-19.07,10.87,automated
RVSS default,high,179.82,1097.54,165.98,332.02,1052.27,165.93,42.31,5.84,0.92,0.06,1813.05,-7.96,8.40,automated
RVSS optimal,high,79.26,1135.00,135.65,167.36,602.79,123.38,38.97,6.17,0.90,0.08,1548.98,-1.57,3.64,automated
ESA default,high,693.75,2559.07,544.51,538.73,1711.11,301.12,47.90,6.70,0.68,0.16,2315.71,0.00,0.02,automated
ESA optimal,high,60.60,929.16,142.25,56.58,832.23,99.19,37.68,6.44,0.90,0.09,1448.05,0.44,1.20,automated
MIM default,high,95.74,1150.34,156.76,150.75,866.23,134.37,43.27,5.98,0.90,0.09,1896.02,0.85,3.79,automated
MIM optimal,high,65.42,1060.78,122.46,66.54,646.40,78.31,42.00,5.70,0.92,0.07,1792.75,3.38,6.73,automated
Voloom,high,144.08,3335.29,399.41,113.82,3159.53,274.36,42.77,4.84,0.91,0.07,1848.66,1.45,5.41,automated
